ID   Audio     Condition               Interest_Area       Labeled? pts-in-poly    pts-total   pts-in-all     Rel_Ratio    Total_Ratio
081  sound     MultiItem  NonLabelled  081_sock_6          0        0              134         114            0.0            0.0
081  sound     MultiItem  NonLabelled  081_hands_1         0        0              134         114            0.0            0.0
081  sound     MultiItem  NonLabelled  081_hand_4          0        0              134         114            0.0            0.0
081  sound     MultiItem  NonLabelled  081_apple_2         0        97             134         114            0.850877192982 0.723880597015
081  sound     MultiItem  NonLabelled  081_donuts+stand_3  0        17             134         114            0.149122807018 0.126865671642
012  silent    MultiItem  NonLabelled  012_blocks_5        0        0              128         34             0.0            0.0
012  silent    MultiItem  NonLabelled  012_blocks_3        0        0              128         34             0.0            0.0
012  silent    MultiItem  NonLabelled  012_concrete_7      0        21             128         34             0.617647058824 0.1640625
012  silent    MultiItem  NonLabelled  012_concrete_6      0        0              128         34             0.0            0.0
012  silent    MultiItem  NonLabelled  012_foot_9          0        0              128         34             0.0            0.0
012  silent    MultiItem  NonLabelled  012_block_2         0        0              128         34             0.0            0.0
012  silent    MultiItem  NonLabelled  012_block_1         0        13             128         34             0.382352941176 0.1015625
012  silent    MultiItem  NonLabelled  012_blocks_4        0        0              128         34             0.0            0.0
012  silent    MultiItem  NonLabelled  012_container_8     0        0              128         34             0.0            0.0
035  silent    MultiItem  Labelled     035_chicken_1       1        87             133         87             1.0            0.654135338346
035  silent    MultiItem  Labelled     035_mic_2           0        0              133         87             0.0            0.0
101  silent    OneItem  NonLabelled    101_donut_1         0        22             146         127            0.173228346457 0.150684931507
101  silent    OneItem  NonLabelled    101_hands_2         0        105            146         127            0.826771653543 0.719178082192
101  silent    OneItem  NonLabelled    101_sock_3          0        0              146         127            0.0            0.0
043  sound     MultiItem  NonLabelled  043_legoman_3       0        0              143         96             0.0            0.0
043  sound     MultiItem  NonLabelled  043_hand_2          0        23             143         96             0.239583333333 0.160839160839
043  sound     MultiItem  NonLabelled  043_bottle_1        0        73             143         96             0.760416666667 0.51048951049
003  sound     MultiItem  Labelled     003_block_4         0        0              129         107            0.0            0.0
003  sound     MultiItem  Labelled     003_hand_5          0        0              129         107            0.0            0.0
003  sound     MultiItem  Labelled     003_hand_6          0        15             129         107            0.140186915888 0.116279069767
003  sound     MultiItem  Labelled     003_arm_2           0        0              129         107            0.0            0.0
003  sound     MultiItem  Labelled     003_belt_1          1        74             129         107            0.691588785047 0.573643410853
003  sound     MultiItem  Labelled     003_bed_3           0        18             129         107            0.168224299065 0.139534883721
044  silent    MultiItem  NonLabelled  044_lego_3          0        0              128         0              0              0.0
044  silent    MultiItem  NonLabelled  044_sock_5          0        0              128         0              0              0.0
044  silent    MultiItem  NonLabelled  044_bottle_2        0        0              128         0              0              0.0
044  silent    MultiItem  NonLabelled  044_mic_4           0        0              128         0              0              0.0
044  silent    MultiItem  NonLabelled  044_boomwhacker_1   0        0              128         0              0              0.0
044  silent    MultiItem  NonLabelled  044_toy_6           0        0              128         0              0              0.0
025  sound     OneItem  NonLabelled    025_hand_1          0        0              5           5              0.0            0.0
025  sound     OneItem  NonLabelled    025_raceCar_2       0        5              5           5              1.0            1.0
087  sound     OneItem  Labelled       087_hand_2          0        0              131         58             0.0            0.0
087  sound     OneItem  Labelled       087_mirror_1        1        58             131         58             1.0            0.442748091603
034  silent    MultiItem  Labelled     034_car_1           1        81             136         86             0.941860465116 0.595588235294
034  silent    MultiItem  Labelled     034_chicken_3       0        5              136         86             0.05813953488370.0367647058824
034  silent    MultiItem  Labelled     034_boat_2          0        0              136         86             0.0            0.0
016  silent    MultiItem  NonLabelled  016_ball_1          0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_racecar_5       0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_tricycle_6      0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_firetruck_3     0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_motorcycle_4    0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_car_2           0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_truck_7         0        0              137         0              0              0.0
016  silent    MultiItem  NonLabelled  016_vehicles_8      0        0              137         0              0              0.0
045  sound     MultiItem  NonLabelled  045_chicken_3       0        0              4           0              0              0.0
045  sound     MultiItem  NonLabelled  045_car_1           1        0              4           0              0              0.0
045  sound     MultiItem  NonLabelled  045_boat_2          0        0              4           0              0              0.0
098  silent    OneItem  NonLabelled    098_ball_1          0        77             106         77             1.0            0.72641509434
057  silent    OneItem  Labelled       057_legobridge_1    1        49             134         49             1.0            0.365671641791
057  silent    OneItem  Labelled       057_hand_2          0        0              134         49             0.0            0.0
057  silent    OneItem  Labelled       057_hand_3          0        0              134         49             0.0            0.0
067  sound     OneItem  NonLabelled    067_hand_1          0        9              125         69             0.130434782609 0.072
